@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
37,0,419,68,0.86037,1,0.08114,1,0.91886,0.150101,0.870229,1.149123,0
37,0,418,69,0.858316,1,0.081319,1,0.918681,0.150407,0.868321,1.151648,0
37,0,417,70,0.856263,1,0.081498,1,0.918502,0.150713,0.866412,1.154185,0
37,0,416,71,0.854209,1,0.081678,1,0.918322,0.15102,0.864504,1.156733,0
37,0,415,72,0.852156,1,0.081858,1,0.918142,0.151329,0.862595,1.159292,0
37,0,414,73,0.850103,1,0.08204,1,0.91796,0.151639,0.860687,1.161863,0
37,0,413,74,0.848049,1,0.082222,1,0.917778,0.151951,0.858779,1.164444,0
37,0,412,75,0.845996,1,0.082405,1,0.917595,0.152263,0.85687,1.167038,0
37,0,411,76,0.843943,1,0.082589,1,0.917411,0.152577,0.854962,1.169643,0
37,0,410,77,0.841889,1,0.082774,1,0.917226,0.152893,0.853053,1.17226,0
37,0,409,78,0.839836,1,0.08296,1,0.91704,0.153209,0.851145,1.174888,0
37,0,408,79,0.837782,1,0.083146,1,0.916854,0.153527,0.849237,1.177528,0
37,0,407,80,0.835729,1,0.083333,1,0.916667,0.153846,0.847328,1.18018,0
37,0,406,81,0.833676,1,0.083521,1,0.916479,0.154167,0.84542,1.182844,0
37,0,405,82,0.831622,1,0.08371,1,0.91629,0.154489,0.843511,1.18552,0
37,0,404,83,0.829569,1,0.0839,1,0.9161,0.154812,0.841603,1.188209,0
37,0,403,84,0.827515,1,0.084091,1,0.915909,0.155136,0.839695,1.190909,0
37,0,402,85,0.825462,1,0.084282,1,0.915718,0.155462,0.837786,1.193622,0
37,0,401,86,0.823409,1,0.084475,1,0.915525,0.155789,0.835878,1.196347,0
37,0,400,87,0.821355,1,0.084668,1,0.915332,0.156118,0.833969,1.199085,0
37,0,399,88,0.819302,1,0.084862,1,0.915138,0.156448,0.832061,1.201835,0
37,0,398,89,0.817248,1,0.085057,1,0.914943,0.15678,0.830153,1.204598,0
37,0,397,90,0.815195,1,0.085253,1,0.914747,0.157113,0.828244,1.207373,0
37,0,396,91,0.813142,1,0.08545,1,0.91455,0.157447,0.826336,1.210162,0
37,0,395,92,0.811088,1,0.085648,1,0.914352,0.157783,0.824427,1.212963,0
37,0,394,93,0.809035,1,0.085847,1,0.914153,0.15812,0.822519,1.215777,0
37,0,393,94,0.806982,1,0.086047,1,0.913953,0.158458,0.820611,1.218605,0
37,0,392,95,0.804928,1,0.086247,1,0.913753,0.158798,0.818702,1.221445,0
37,0,391,96,0.802875,1,0.086449,1,0.913551,0.15914,0.816794,1.224299,0
37,0,390,97,0.800821,1,0.086651,1,0.913349,0.159483,0.814885,1.227166,0
37,0,389,98,0.798768,1,0.086854,1,0.913146,0.159827,0.812977,1.230047,0
37,0,388,99,0.796715,1,0.087059,1,0.912941,0.160173,0.811069,1.232941,0
37,0,387,100,0.794661,1,0.087264,1,0.912736,0.160521,0.80916,1.235849,0
37,0,386,101,0.792608,1,0.08747,1,0.91253,0.16087,0.807252,1.238771,0
37,0,385,102,0.790554,1,0.087678,1,0.912322,0.16122,0.805344,1.241706,0
37,0,384,103,0.788501,1,0.087886,1,0.912114,0.161572,0.803435,1.244656,0
37,0,383,104,0.786448,1,0.088095,1,0.911905,0.161926,0.801527,1.247619,0
37,0,382,105,0.784394,1,0.088305,1,0.911695,0.162281,0.799618,1.250597,0
37,0,381,106,0.782341,1,0.088517,1,0.911483,0.162637,0.79771,1.253589,0
37,0,380,107,0.780287,1,0.088729,1,0.911271,0.162996,0.795802,1.256595,0
37,0,379,108,0.778234,1,0.088942,1,0.911058,0.163355,0.793893,1.259615,0
37,0,378,109,0.776181,1,0.089157,1,0.910843,0.163717,0.791985,1.262651,0
37,0,377,110,0.774127,1,0.089372,1,0.910628,0.16408,0.790076,1.2657,0
37,0,376,111,0.772074,1,0.089588,1,0.910412,0.164444,0.788168,1.268765,0
37,0,375,112,0.770021,1,0.089806,1,0.910194,0.164811,0.78626,1.271845,0
37,0,374,113,0.767967,1,0.090024,1,0.909976,0.165179,0.784351,1.274939,0
37,0,373,114,0.765914,1,0.090244,1,0.909756,0.165548,0.782443,1.278049,0
37,0,372,115,0.76386,1,0.090465,1,0.909535,0.165919,0.780534,1.281174,0
37,0,371,116,0.761807,1,0.090686,1,0.909314,0.166292,0.778626,1.284314,0
37,0,370,117,0.759754,1,0.090909,1,0.909091,0.166667,0.776718,1.287469,0
37,0,369,118,0.7577,1,0.091133,1,0.908867,0.167043,0.774809,1.29064,0
37,0,368,119,0.755647,1,0.091358,1,0.908642,0.167421,0.772901,1.293827,0
37,0,367,120,0.753593,1,0.091584,1,0.908416,0.1678,0.770992,1.29703,0
37,0,366,121,0.75154,1,0.091811,1,0.908189,0.168182,0.769084,1.300248,0
37,0,365,122,0.749487,1,0.09204,1,0.90796,0.168565,0.767176,1.303483,0
37,0,364,123,0.747433,1,0.092269,1,0.907731,0.16895,0.765267,1.306733,0
37,0,363,124,0.74538,1,0.0925,1,0.9075,0.169336,0.763359,1.31,0
37,0,362,125,0.743326,1,0.092732,1,0.907268,0.169725,0.76145,1.313283,0
37,0,361,126,0.741273,1,0.092965,1,0.907035,0.170115,0.759542,1.316583,0
37,0,360,127,0.73922,1,0.093199,1,0.906801,0.170507,0.757634,1.319899,0
37,0,359,128,0.737166,1,0.093434,1,0.906566,0.170901,0.755725,1.323232,0
37,0,358,129,0.735113,1,0.093671,1,0.906329,0.171296,0.753817,1.326582,0
37,0,357,130,0.73306,1,0.093909,1,0.906091,0.171694,0.751908,1.329949,0
37,0,356,131,0.731006,1,0.094148,1,0.905852,0.172093,0.75,1.333333,0
37,0,355,132,0.728953,1,0.094388,1,0.905612,0.172494,0.748092,1.336735,0
37,0,354,133,0.726899,1,0.094629,1,0.905371,0.172897,0.746183,1.340153,0
37,0,353,134,0.724846,1,0.094872,1,0.905128,0.173302,0.744275,1.34359,0
37,0,352,135,0.722793,1,0.095116,1,0.904884,0.173709,0.742366,1.347044,0
37,0,351,136,0.720739,1,0.095361,1,0.904639,0.174118,0.740458,1.350515,0
37,0,350,137,0.718686,1,0.095607,1,0.904393,0.174528,0.73855,1.354005,0
37,0,349,138,0.716632,1,0.095855,1,0.904145,0.174941,0.736641,1.357513,0
37,0,348,139,0.714579,1,0.096104,1,0.903896,0.175355,0.734733,1.361039,0
37,0,347,140,0.712526,1,0.096354,1,0.903646,0.175772,0.732824,1.364583,0
37,0,346,141,0.710472,1,0.096606,1,0.903394,0.17619,0.730916,1.368146,0
37,0,345,142,0.708419,1,0.096859,1,0.903141,0.176611,0.729008,1.371728,0
37,0,344,143,0.706366,1,0.097113,1,0.902887,0.177033,0.727099,1.375328,0
37,0,343,144,0.704312,1,0.097368,1,0.902632,0.177458,0.725191,1.378947,0
37,0,342,145,0.702259,1,0.097625,1,0.902375,0.177885,0.723282,1.382586,0
37,0,341,146,0.700205,1,0.097884,1,0.902116,0.178313,0.721374,1.386243,0
37,0,340,147,0.698152,1,0.098143,1,0.901857,0.178744,0.719466,1.38992,0
37,0,339,148,0.696099,1,0.098404,1,0.901596,0.179177,0.717557,1.393617,0
37,0,338,149,0.694045,1,0.098667,1,0.901333,0.179612,0.715649,1.397333,0
37,0,337,150,0.691992,1,0.09893,1,0.90107,0.180049,0.71374,1.40107,0
37,0,336,151,0.689938,1,0.099196,1,0.900804,0.180488,0.711832,1.404826,0
37,0,335,152,0.687885,1,0.099462,1,0.900538,0.180929,0.709924,1.408602,0
37,0,334,153,0.685832,1,0.09973,1,0.90027,0.181373,0.708015,1.412399,0
37,0,333,154,0.683778,1,0.1,1,0.9,0.181818,0.706107,1.416216,0
37,0,332,155,0.681725,1,0.100271,1,0.899729,0.182266,0.704198,1.420054,0
37,0,331,156,0.679671,1,0.100543,1,0.899457,0.182716,0.70229,1.423913,0
37,0,330,157,0.677618,1,0.100817,1,0.899183,0.183168,0.700382,1.427793,0
37,0,329,158,0.675565,1,0.101093,1,0.898907,0.183623,0.698473,1.431694,0
37,0,328,159,0.673511,1,0.10137,1,0.89863,0.18408,0.696565,1.435616,0
37,0,327,160,0.671458,1,0.101648,1,0.898352,0.184539,0.694656,1.43956,0
37,0,326,161,0.669405,1,0.101928,1,0.898072,0.185,0.692748,1.443526,0
37,0,325,162,0.667351,1,0.10221,1,0.89779,0.185464,0.69084,1.447514,0
37,0,324,163,0.665298,1,0.102493,1,0.897507,0.18593,0.688931,1.451524,0
37,0,323,164,0.663244,1,0.102778,1,0.897222,0.186398,0.687023,1.455556,0
37,0,322,165,0.661191,1,0.103064,1,0.896936,0.186869,0.685115,1.45961,0
37,0,321,166,0.659138,1,0.103352,1,0.896648,0.187342,0.683206,1.463687,0
37,0,320,167,0.657084,1,0.103641,1,0.896359,0.187817,0.681298,1.467787,0
37,0,319,168,0.655031,1,0.103933,1,0.896067,0.188295,0.679389,1.47191,0
37,0,318,169,0.652977,1,0.104225,1,0.895775,0.188776,0.677481,1.476056,0
37,0,317,170,0.650924,1,0.10452,1,0.89548,0.189258,0.675573,1.480226,0
37,0,316,171,0.648871,1,0.104816,1,0.895184,0.189744,0.673664,1.484419,0
37,0,315,172,0.646817,1,0.105114,1,0.894886,0.190231,0.671756,1.488636,0
37,0,314,173,0.644764,1,0.105413,1,0.894587,0.190722,0.669847,1.492877,0
37,0,313,174,0.64271,1,0.105714,1,0.894286,0.191214,0.667939,1.497143,0
37,0,312,175,0.640657,1,0.106017,1,0.893983,0.19171,0.666031,1.501433,0
37,0,311,176,0.638604,1,0.106322,1,0.893678,0.192208,0.664122,1.505747,0
37,0,310,177,0.63655,1,0.106628,1,0.893372,0.192708,0.662214,1.510086,0
37,0,309,178,0.634497,1,0.106936,1,0.893064,0.193211,0.660305,1.514451,0
37,0,308,179,0.632444,1,0.107246,1,0.892754,0.193717,0.658397,1.518841,0
