@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,405,68,0.856237,1,0.111842,1,0.888158,0.201183,0.870229,1.149123,0
51,0,404,69,0.854123,1,0.112088,1,0.887912,0.201581,0.868321,1.151648,0
51,0,403,70,0.852008,1,0.112335,1,0.887665,0.20198,0.866412,1.154185,0
51,0,402,71,0.849894,1,0.112583,1,0.887417,0.202381,0.864504,1.156733,0
51,0,401,72,0.84778,1,0.112832,1,0.887168,0.202783,0.862595,1.159292,0
51,0,400,73,0.845666,1,0.113082,1,0.886918,0.203187,0.860687,1.161863,0
51,0,399,74,0.843552,1,0.113333,1,0.886667,0.203593,0.858779,1.164444,0
51,0,398,75,0.841438,1,0.113586,1,0.886414,0.204,0.85687,1.167038,0
51,0,397,76,0.839323,1,0.113839,1,0.886161,0.204409,0.854962,1.169643,0
51,0,396,77,0.837209,1,0.114094,1,0.885906,0.204819,0.853053,1.17226,0
51,0,395,78,0.835095,1,0.11435,1,0.88565,0.205231,0.851145,1.174888,0
51,0,394,79,0.832981,1,0.114607,1,0.885393,0.205645,0.849237,1.177528,0
51,0,393,80,0.830867,1,0.114865,1,0.885135,0.206061,0.847328,1.18018,0
51,0,392,81,0.828753,1,0.115124,1,0.884876,0.206478,0.84542,1.182844,0
51,0,391,82,0.826638,1,0.115385,1,0.884615,0.206897,0.843511,1.18552,0
51,0,390,83,0.824524,1,0.115646,1,0.884354,0.207317,0.841603,1.188209,0
51,0,389,84,0.82241,1,0.115909,1,0.884091,0.207739,0.839695,1.190909,0
51,0,388,85,0.820296,1,0.116173,1,0.883827,0.208163,0.837786,1.193622,0
51,0,387,86,0.818182,1,0.116438,1,0.883562,0.208589,0.835878,1.196347,0
51,0,386,87,0.816068,1,0.116705,1,0.883295,0.209016,0.833969,1.199085,0
51,0,385,88,0.813953,1,0.116972,1,0.883028,0.209446,0.832061,1.201835,0
51,0,384,89,0.811839,1,0.117241,1,0.882759,0.209877,0.830153,1.204598,0
51,0,383,90,0.809725,1,0.117512,1,0.882488,0.210309,0.828244,1.207373,0
51,0,382,91,0.807611,1,0.117783,1,0.882217,0.210744,0.826336,1.210162,0
51,0,381,92,0.805497,1,0.118056,1,0.881944,0.21118,0.824427,1.212963,0
51,0,380,93,0.803383,1,0.118329,1,0.881671,0.211618,0.822519,1.215777,0
51,0,379,94,0.801268,1,0.118605,1,0.881395,0.212058,0.820611,1.218605,0
51,0,378,95,0.799154,1,0.118881,1,0.881119,0.2125,0.818702,1.221445,0
51,0,377,96,0.79704,1,0.119159,1,0.880841,0.212944,0.816794,1.224299,0
51,0,376,97,0.794926,1,0.119438,1,0.880562,0.213389,0.814885,1.227166,0
51,0,375,98,0.792812,1,0.119718,1,0.880282,0.213836,0.812977,1.230047,0
51,0,374,99,0.790698,1,0.12,1,0.88,0.214286,0.811069,1.232941,0
51,0,373,100,0.788584,1,0.120283,1,0.879717,0.214737,0.80916,1.235849,0
51,0,372,101,0.786469,1,0.120567,1,0.879433,0.21519,0.807252,1.238771,0
51,0,371,102,0.784355,1,0.120853,1,0.879147,0.215645,0.805344,1.241706,0
51,0,370,103,0.782241,1,0.12114,1,0.87886,0.216102,0.803435,1.244656,0
51,0,369,104,0.780127,1,0.121429,1,0.878571,0.216561,0.801527,1.247619,0
51,0,368,105,0.778013,1,0.121718,1,0.878282,0.217021,0.799618,1.250597,0
51,0,367,106,0.775899,1,0.12201,1,0.87799,0.217484,0.79771,1.253589,0
51,0,366,107,0.773784,1,0.122302,1,0.877698,0.217949,0.795802,1.256595,0
51,0,365,108,0.77167,1,0.122596,1,0.877404,0.218415,0.793893,1.259615,0
51,0,364,109,0.769556,1,0.122892,1,0.877108,0.218884,0.791985,1.262651,0
51,0,363,110,0.767442,1,0.123188,1,0.876812,0.219355,0.790076,1.2657,0
51,0,362,111,0.765328,1,0.123487,1,0.876513,0.219828,0.788168,1.268765,0
51,0,361,112,0.763214,1,0.123786,1,0.876214,0.220302,0.78626,1.271845,0
51,0,360,113,0.761099,1,0.124088,1,0.875912,0.220779,0.784351,1.274939,0
51,0,359,114,0.758985,1,0.12439,1,0.87561,0.221258,0.782443,1.278049,0
51,0,358,115,0.756871,1,0.124694,1,0.875306,0.221739,0.780534,1.281174,0
51,0,357,116,0.754757,1,0.125,1,0.875,0.222222,0.778626,1.284314,0
51,0,356,117,0.752643,1,0.125307,1,0.874693,0.222707,0.776718,1.287469,0
51,0,355,118,0.750529,1,0.125616,1,0.874384,0.223195,0.774809,1.29064,0
51,0,354,119,0.748414,1,0.125926,1,0.874074,0.223684,0.772901,1.293827,0
51,0,353,120,0.7463,1,0.126238,1,0.873762,0.224176,0.770992,1.29703,0
51,0,352,121,0.744186,1,0.126551,1,0.873449,0.22467,0.769084,1.300248,0
51,0,351,122,0.742072,1,0.126866,1,0.873134,0.225166,0.767176,1.303483,0
51,0,350,123,0.739958,1,0.127182,1,0.872818,0.225664,0.765267,1.306733,0
51,0,349,124,0.737844,1,0.1275,1,0.8725,0.226164,0.763359,1.31,0
51,0,348,125,0.735729,1,0.12782,1,0.87218,0.226667,0.76145,1.313283,0
51,0,347,126,0.733615,1,0.128141,1,0.871859,0.227171,0.759542,1.316583,0
51,0,346,127,0.731501,1,0.128463,1,0.871537,0.227679,0.757634,1.319899,0
51,0,345,128,0.729387,1,0.128788,1,0.871212,0.228188,0.755725,1.323232,0
51,0,344,129,0.727273,1,0.129114,1,0.870886,0.2287,0.753817,1.326582,0
51,0,343,130,0.725159,1,0.129442,1,0.870558,0.229213,0.751908,1.329949,0
51,0,342,131,0.723044,1,0.129771,1,0.870229,0.22973,0.75,1.333333,0
51,0,341,132,0.72093,1,0.130102,1,0.869898,0.230248,0.748092,1.336735,0
